Gene_acc,Gene_id,logFC,log_AveExpr,FDR,Desc,WT_1,WT_2,WT_3,MUT_1,MUT_2,MUT_3
13,Tb05.5K5.70:mRNA-p1;Tb927.5.4420:mRNA-p1,0.595632,6.663853125652589,0.08109984783567163,"nucleolar RNA helicase II, putative;nucleolar RNA helicase II, putative",6409132.0,6104961.0,7110039.0,5921611.5,5122634.0,6224536.0
14,Tb05.5K5.90:mRNA-p1;Tb927.5.4440:mRNA-p1,-0.425697,5.6354260338744036,0.057942316158604894,"dynein light chain, putative;dynein light chain, putative",551446.8125,611053.125,600492.375,522202.3125,615378.125,554956.5625
15,Tb06.3A7.960:mRNA-p1,1.595769,5.955237706556004,0.2086673178294088,hypothetical protein,1240436.5,1448607.25,1359961.125,1170937.875,1000634.5625,995928.5
16,Tb07.11L3.90:mRNA-p1;Tb927.7.2140:mRNA-p1,1.175791,5.605824903325318,0.15930436826989156,"zinc finger protein family member, putative;zinc finger protein family member, putative",609436.25,607664.9375,559872.875,513302.6875,461827.15625,475746.1875
17,Tb09.v4.0009:mRNA-p1;Tb927.9.15660:mRNA-p1,-0.373957,4.973550426529721,0.049255547334506884,"receptor-type adenylate cyclase, putative;procyclic-enriched flagellar receptor adenylate cyclase 6",130363.2734375,124238.3359375,132056.53125,118981.1328125,113400.515625,133682.140625
18,Tb09.v4.0014:mRNA-p1;Tb09.v4.0110:mRNA-p1;Tb927.9.15850:mRNA-p1,-2.885513,5.170714592704923,0.31595397286357146,hypothetical protein;hypothetical protein;hypothetical protein,176023.046875,159166.890625,182339.28125,242522.4375,231637.109375,193536.015625
19,Tb09.v4.0016:mRNA-p1;Tb11.v5.0463.1-p1,-0.805162,4.742227633485932,0.11206778160278044,"expression site- associated gene (ESAG) protein, putative;Tb11.v5.0463.1-p1",64207.3515625,28432.13671875,110724.890625,74150.140625,87006.3828125,77362.9375
20,Tb09.v4.0017:mRNA-p1;Tb927.9.15930:mRNA-p1,12.208072,4.537563545639583,0.7744581228127693,"rab1 (small gtp-binding protein rab1, putative);small GTPase, putative",38084.609375,42404.3984375,91900.125,0.0,0.0,0.0
21,Tb09.v4.0067:pseudogenic_transcript-p1,-3.473225,6.7350391320193115,0.3603043825559471,"retrotransposon hot spot protein, pseudogene",6930564.5,6058980.5,5726219.5,8079111.0,8257228.5,8411825.0
22,Tb09.v4.0109:mRNA-p1,0.654728,5.327743333013844,0.08985069774976193,hypothetical protein,330762.5,323703.09375,262489.25,243475.484375,262958.125,278106.0625
23,Tb09.v4.0119:pseudogenic_transcript-p1,125.160992,4.6581561174146024,2.6020599913279625,"variant surface glycoprotein (VSG, pseudogene), putative",70927.6796875,163103.015625,101373.8046875,5241.1083984375,8305.87890625,15160.330078125
24,Tb09.v4.0150:pseudogenic_transcript-p1,-0.403082,4.247395507424213,0.05243395119772633,"variant surface glycoprotein (VSG, pseudogene), putative",27307.765625,34132.89453125,5805.60205078125,29105.859375,0.0,27374.451171875
25,Tb10.v4.0033:mRNA-p1;Tb927.10.4430:mRNA-p1,0.368287,5.613270601515479,0.04798290995257374,pumillo RNA binding protein PUF1;pumillo RNA binding protein PUF1,626256.5625,543026.0,541954.125,514720.75,504333.71875,553375.625
26,Tb10.v4.0034:mRNA-p1;Tb927.10.4440:mRNA-p1,3.155013,5.40419797109863,0.3342783316126033,"SAP domain containing protein, putative;predicted SAP domain protein",461627.28125,382345.625,357203.90625,232713.171875,343935.78125,251190.859375
27,Tb10.v4.0035:mRNA-p1;Tb927.10.4450:mRNA-p1,18.241854,5.036040553534958,0.921760746190334,"stress-inducible protein STI1-like, putative;stress-inducible protein STI1-like, putative",222307.515625,130019.8671875,253742.0,77026.53125,81229.40625,104886.0859375
28,Tb10.v4.0036:mRNA-p1;Tb927.10.4460:mRNA-p1,-0.220606,4.739590132816883,0.01211485577824228,"leucine carboxyl methyltransferase, putative;leucine carboxyl methyltransferase, putative",0.0,44801.53125,38255.7734375,0.0,17202.765625,229143.6875
29,Tb10.v4.0037:mRNA-p1;Tb927.10.4470:mRNA-p1,-0.573961,4.270532282093763,0.07801716116222393,"hypothetical protein, conserved;hypothetical protein, conserved",11772.4375,5294.3056640625,24168.90234375,27457.796875,70492.203125,9955.291015625
30,Tb10.v4.0039:mRNA-p1;Tb927.10.4490:mRNA-p1,-0.497977,5.41197047050632,0.0687150678652719,"hypothetical protein, conserved;hypothetical protein, conserved",357216.75,350818.34375,338964.125,354646.90625,348430.71875,315579.84375
31,Tb10.v4.0040:mRNA-p1;Tb927.10.4500:mRNA-p1,1.696145,5.098563737578725,0.22142913439854536,"mRNA capping methyltransferase, putative;cap guanine-N7 methyltransferase",0.0,108432.546875,534238.3125,97631.578125,0.0,12548.435546875
32,Tb10.v4.0041:mRNA-p1,0.241989,4.62606862460058,0.015216236113747977,"PUB domain containing protein, putative",36686.30859375,69855.65625,66829.4140625,42452.33203125,102883.9375,19471.2421875
33,Tb10.v4.0043:mRNA-p1;Tb11.v5.1012.1-p1;Tb927.10.4330:mRNA-p1,-0.440427,4.68484984405646,0.05990207376891311,"chrX additional, unordered contigs;Tb11.v5.1012.1-p1;2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative",121083.3984375,0.0,37471.890625,66323.90625,52510.78125,61403.9375
34,Tb10.v4.0044:mRNA-p1;Tb927.10.4320:mRNA-p1,10.349673,5.3165949820721545,0.7348518611845338,"hypothetical protein, conserved;hypothetical protein, conserved",530156.6875,306168.15625,265190.4375,186499.375,182987.921875,187370.109375
35,Tb10.v4.0045:mRNA-p1;Tb927.10.4310:mRNA-p1,2.079781,6.406505972987734,0.2570000857175153,"prohibitin, putative;prohibitin 2, putative",4051927.5,3971165.5,3582387.0,3124171.0,2651969.5,3016759.75
36,Tb10.v4.0066:pseudogenic_transcript-p1,-2.302585,3.565717222646976,0.2662571992106319,"expression site-associated gene 3 (ESAG3, pseudogene), putative",0.0,0.0,0.0,0.0,11028.896484375,0.0
37,Tb10.v4.0217:mRNA-p1,0.379452,4.497504776592965,0.04931879067952425,hypothetical protein,0.0,0.0,91739.8671875,38270.97265625,0.0,27187.896484375
38,Tb10.v4.0219:pseudogenic_transcript-p1,-0.948853,4.702477802977855,0.1320672354933995,"retrotransposon hot spot protein (RHS, pseudogene), putative",45552.0546875,113526.0859375,33356.03515625,49247.69140625,85611.53125,75940.8984375
39,Tb10.v4.0246:mRNA-p1;Tb927.10.6900:mRNA-p1,12.087636,5.689304005510046,0.7744581228127693,hypothetical protein;base J-associated glucosyltransferase,884691.6875,894144.625,740610.6875,454126.8125,491642.96875,446727.9375
40,Tb10.v4.0248:mRNA-p1;Tb927.10.6920:mRNA-p1,1.111632,6.1725060634329045,0.15081407456220464,hypothetical protein;hypothetical protein,2061508.625,2351526.75,2124582.75,1761308.125,1766707.25,1835699.125
41,Tb11.01.2730.1-p1,-0.616687,6.06477953998446,0.08380407268352258,Tb11.01.2730.1-p1,1533402.0,1551777.125,1566394.5,1484377.75,1609687.75,1541222.0
42,Tb11.02.5070b.1-p1;Tb927.11.7212:mRNA-p1,-9.499726,3.967326602599621,0.7009941835493629,"Tb11.02.5070b.1-p1;NADH-ubiquinone oxidoreductase complex I subunit, putative",0.0,0.0,9259.9130859375,10050.9619140625,22627.73046875,13704.830078125
43,Tb11.02.5080b.1-p1;Tb927.11.7213:mRNA-p1,-3.18339,5.397854975778467,0.33635560251661684,"Tb11.02.5080b.1-p1;Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)/Endoplasmic reticulum vesicle transporter, putative",318482.125,283580.1875,273205.375,398750.96875,354366.25,371212.5625
44,Tb11.02.5090.1-p1;Tb11.02.5090b.1-p1,0.737114,5.61493332699356,0.10138998751971183,Tb11.02.5090.1-p1;Tb11.02.5090b.1-p1,559984.1875,581803.1875,630589.5625,514346.1875,485440.84375,524098.6875
45,Tb11.02.5360:mRNA-p1;Tb11.02.5360b.1-p1,1.961726,3.641242584079375,0.24865159923456726,"hypothetical protein, conserved;Tb11.02.5360b.1-p1",7530.89599609375,7505.03466796875,0.0,0.0,1.2158156633377075,11221.3095703125
46,Tb11.02.5380.1-p1;Tb11.02.5380b.1-p1,-1.298942,6.978134106023309,0.17312864135799597,Tb11.02.5380.1-p1;Tb11.02.5380b.1-p1,13791142.0,8616744.0,13225638.0,12688945.0,13177169.0,14572218.0
47,Tb11.02.5390:mRNA-p1;Tb11.02.5390b.1-p1,-10.781412,4.848691488726106,0.7567386572794152,Guide RNA binding complex protein 4;Tb11.02.5390b.1-p1,68746.1875,65240.48828125,60524.92578125,116255.6484375,138184.9375,115690.71875
48,Tb11.02.5400:mRNA-p1;Tb11.02.5400b.1-p1,-2.302585,3.5244141000221196,0.2662571992106319,"cystathionine beta-synthase, putative;Tb11.02.5400b.1-p1",0.0,0.0,0.0,0.0,0.0,10027.7138671875
49,Tb11.02.5410:mRNA-p1;Tb11.02.5410b:mRNA-p1,-0.220119,5.092873843717923,0.01211485577824228,"ubiquitin activating enzyme (E1) subunit Aos1, putative;ubiquitin activating enzyme, putative",76645.3046875,198851.9375,107663.0,310592.84375,173142.265625,0.0
50,Tb11.02.5420:mRNA-p1;Tb11.02.5420b.1-p1,-9.578611,6.00934051948314,0.704542861927437,"NADPH-cytochrome p450 reductase, putative;Tb11.02.5420b.1-p1",962541.75,990925.75,946407.875,1746180.75,1783669.5,1744184.5
51,Tb11.02.5430:mRNA-p1;Tb11.02.5430b.1-p1,-19.165202,4.644019198011998,0.9623345066491975,"hypothetical protein, conserved;Tb11.02.5430b.1-p1",47604.5234375,17418.5,37306.8359375,81543.2421875,91514.078125,77062.8203125
52,Tb11.0290:mRNA-p1;Tb11.0390:mRNA-p1;Tb927.11.7705:mRNA-p1;Tb927.6.4980:mRNA-p1,3.169881,7.24831466879984,0.3350103520467046,"chrXI additional, unordered contigs;chrXI additional, unordered contigs;ribosomal protein S11, putative;40S ribosomal protein S14",29169996.0,28430026.0,24991678.0,19313704.0,19702864.0,20103074.0
53,Tb11.0320:mRNA-p1;Tb927.11.7690.1-p1,-1.796399,4.7920501604230585,0.23046759644251252,hypothetical protein;Tb927.11.7690.1-p1,93993.75,73814.5078125,18270.34765625,69251.328125,96222.0390625,144048.359375
54,Tb11.0350:mRNA-p1;Tb927.11.7650.1-p1,-1.212965,4.358429853233039,0.16378985406652938,hypothetical protein;Tb927.11.7650.1-p1,18891.861328125,28519.611328125,37106.59375,36082.11328125,27266.54296875,34732.39453125
55,Tb11.0520:mRNA-p1;Tb927.10.1130:mRNA-p1,-1.452812,5.885248351953613,0.1927762601967691,"dynein light chain, putative;dynein arm light chain, axonemal, putative",970519.3125,979896.75,967431.3125,1070318.0,1092629.25,1061596.875
56,Tb11.0530:mRNA-p1;Tb927.10.1140:mRNA-p1,0.159148,7.937767800241621,0.0016796204571363903,epsilon tubulin;epsilon tubulin,91178624.0,117556328.0,138928864.0,134846576.0,201877984.0,8810384.0
57,Tb11.0540:mRNA-p1;Tb927.10.1150:mRNA-p1,0.395091,4.755510765870858,0.05175824259088024,"hypothetical protein;hypothetical protein, conserved",77389.6640625,87765.4453125,71144.0390625,71709.671875,88486.375,59112.984375
58,Tb11.0845:mRNA-p1;Tb927.11.18680:mRNA-p1;Tb927.11.715:mRNA-p1,-0.923762,7.178842455311569,0.12799531956505222,"dynein light chain LC8, putative;dynein light chain LC8, putative;dynein light chain LC8, putative",19531904.0,19924266.0,19657504.0,21245520.0,20646044.0,19757344.0
59,Tb11.1220:mRNA-p1;Tb11.v5.0996.1-p1,-0.535102,6.877181033495953,0.07398700112911781,hypothetical protein;Tb11.v5.0996.1-p1,9702541.0,9559455.0,11169928.0,10048463.0,9630491.0,10182681.0
60,Tb11.1240:mRNA-p1;Tb11.v5.0998.1-p1;Tb927.10.15270:mRNA-p1,3.045927,5.25671063771294,0.3278097488117474,"methionine aminopeptidase, type I, putative;Tb11.v5.0998.1-p1;metallo- peptidase, Clan MG, Family M24",303800.5625,254826.609375,275025.5,246718.109375,173144.390625,191250.484375
61,Tb11.1370.1-p1;Tb11.1420:mRNA-p1;Tb927.11.1850:mRNA-p1,-0.52274,4.238417546693249,0.07262450348680184,"Tb11.1370.1-p1;hypothetical protein;hypothetical protein, conserved",25615.30859375,22215.15234375,17356.875,18166.9765625,24008.56640625,31146.8828125
62,Tb11.1380.1-p1;Tb927.11.1840:mRNA-p1,-0.51809,7.100101334330237,0.07251158240402754,"Tb11.1380.1-p1;hypothetical protein, conserved",17335362.0,16179226.0,17308318.0,15766780.0,16562111.0,17585724.0
63,Tb11.1410.1-p1;Tb927.11.1810:mRNA-p1,0.598578,4.390733186077524,0.0814087995699852,"Tb11.1410.1-p1;Ring finger domain containing protein, putative",35611.296875,32291.78125,36875.66796875,26871.62890625,29928.548828125,35120.6328125
64,Tb11.1780.1-p1,-2.040647,6.157180552259909,0.25409022905675355,Tb11.1780.1-p1,1894859.75,1762525.5,1638667.75,2201626.25,1989339.875,2001659.125
65,Tb11.1790.1-p1,-0.66369,5.319895943716373,0.09063655780527247,Tb11.1790.1-p1,245051.75,302150.6875,287389.34375,273482.15625,271012.625,291939.09375
66,Tb11.1810.1-p1;Tb11.1810b.1-p1,-9.690225,5.947358849887254,0.7088532382681144,Tb11.1810.1-p1;Tb11.1810b.1-p1,560631.25,1081643.75,895876.5625,1371688.625,1760549.5,1416376.375
67,Tb11.v5.0147.1-p1;Tb927.7.4600:mRNA-p1,-0.821702,4.736686971107599,0.11374622735603139,"Tb11.v5.0147.1-p1;Calponin homology (CH) domain containing protein, putative",85096.625,63500.140625,64278.81640625,79560.3828125,79645.53125,64200.5546875
68,Tb11.v5.0150.1-p1;Tb927.7.4650:mRNA-p1,1.526107,5.030342224335712,0.20138387854075054,Tb11.v5.0150.1-p1;J Biosynthesis Protein 2,152131.3125,162996.203125,162845.59375,129469.2734375,124611.234375,125827.3359375
69,Tb11.v5.0153.1-p1;Tb927.7.4690:mRNA-p1,-17.201934,4.902954180187534,0.9065082729890681,Tb11.v5.0153.1-p1;hypothetical protein,87906.859375,50485.25390625,59992.078125,149938.09375,142814.40625,148653.21875
70,Tb11.v5.0157.1-p1;Tb927.7.4740:mRNA-p1,-2.145834,5.50596458285904,0.26342822156383816,"Tb11.v5.0157.1-p1;hypothetical protein, conserved",377257.625,392333.53125,397715.375,412003.25,512341.625,473143.6875
71,Tb11.v5.0158.1-p1;Tb927.7.4750:mRNA-p1,0.407737,5.720889183368817,0.05319415494685012,"Tb11.v5.0158.1-p1;hypothetical protein, conserved",811953.1875,1167192.875,310884.03125,671816.5,867600.6875,377605.59375
72,Tb11.v5.0160.1-p1;Tb927.7.4770:mRNA-p1,-15.302236,6.565928947229511,0.8671961819980004,"Tb11.v5.0160.1-p1;cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative",3708336.0,2951086.25,2653290.0,6330336.5,7607665.0,6194773.0
73,Tb11.v5.0161.1-p1;Tb927.7.4780:mRNA-p1,2.16163,5.594393525494652,0.264976282541311,"Tb11.v5.0161.1-p1;conserved hypothetical protein, putative",599991.3125,605553.625,579460.125,415591.1875,500498.375,442901.0625
74,Tb11.v5.0162.1-p1;Tb927.7.4790:mRNA-p1,3.182589,5.289787130465362,0.33635560251661684,Tb11.v5.0162.1-p1;proteasome beta 6 subunit,263468.875,293944.21875,348838.59375,210382.375,192667.09375,249799.375
75,Tb11.v5.0163.1-p1;Tb927.7.4810:mRNA-p1,-14.939079,5.24014978380202,0.8555503391311005,"Tb11.v5.0163.1-p1;HD domain containing protein, putative",155224.28125,137605.328125,143690.390625,292495.5,381925.3125,279768.75
76,Tb11.v5.0164.1-p1;Tb927.7.4820:mRNA-p1,-0.292872,5.583980198493723,0.030197495362773497,"Tb11.v5.0164.1-p1;Trm112p-like protein, putative",810285.0625,395528.34375,357381.09375,511385.09375,414660.5625,580266.5
77,Tb11.v5.0166.1-p1;Tb927.7.4840:mRNA-p1,0.869233,5.95799460952979,0.12112218303423633,"Tb11.v5.0166.1-p1;hypothetical protein, conserved",1276342.75,1310007.125,1345523.875,1113594.875,1123122.0,1093871.375
78,Tb11.v5.0167.1-p1;Tb927.7.4850:mRNA-p1,-0.590381,4.904296217894744,0.08060807322614064,Tb11.v5.0167.1-p1;kinetoplastid kinetochore protein 5,114457.796875,94752.703125,112231.703125,106114.984375,106420.046875,107792.8125
79,Tb11.v5.0168.1-p1;Tb927.7.4860:mRNA-p1,4.837382,4.9941394686258,0.460685481254222,Tb11.v5.0168.1-p1;kinetoplastid kinetochore protein 13,168296.09375,164960.953125,137839.421875,113572.671875,103205.3515625,101392.3515625
80,Tb11.v5.0169.1-p1;Tb927.7.4870:mRNA-p1,1.04876,6.1349098026436755,0.1456757364350976,"Tb11.v5.0169.1-p1;hypothetical protein, conserved",1935687.875,1986292.5,2041957.125,1597521.875,1663454.875,1689471.375
81,Tb11.v5.0170.1-p1;Tb927.7.4890:mRNA-p1,-2.716348,5.093095901127698,0.30318072709585636,Tb11.v5.0170.1-p1;Present in the outer mitochondrial membrane proteome 34,136165.578125,157587.0625,149658.515625,178308.375,180820.875,188705.359375
82,Tb11.v5.0171.1-p1;Tb927.7.4900:mRNA-p1,-1.65735,5.535331925851393,0.21696158507153823,Tb11.v5.0171.1-p1;5'-3' exoribonuclease A,426820.0,432437.09375,429909.34375,489470.0625,475100.875,490490.25
83,Tb11.v5.0172.1-p1;Tb927.7.4910:mRNA-p1,0.412184,6.135760143296206,0.054462484706635145,"Tb11.v5.0172.1-p1;hypothetical protein, conserved",1877648.125,1913585.125,1931659.125,1768376.625,1650937.125,1793570.625
84,Tb11.v5.0177.1-p1;Tb927.7.4960:mRNA-p1,-7.544818,5.028447692343832,0.6069515335832217,"Tb11.v5.0177.1-p1;hypothetical protein, conserved",112961.1953125,102967.3203125,104811.3671875,167821.875,192031.40625,173553.546875
85,Tb11.v5.0179.1-p1;Tb927.7.4980:mRNA-p1,1.978943,4.855918188378075,0.2496690618800066,Tb11.v5.0179.1-p1;Present in the outer mitochondrial membrane proteome 35,112096.2265625,105388.9296875,106872.359375,86698.8515625,80215.546875,82845.4609375
86,Tb11.v5.0180.1-p1;Tb927.7.4990:mRNA-p1,-1.513055,4.890089368413414,0.1995441266812878,"Tb11.v5.0180.1-p1;hypothetical protein, conserved",174139.03125,41195.6953125,71164.4609375,169263.34375,97658.2578125,67694.7421875
87,Tb11.v5.0181.1-p1;Tb11.v5.0182.1-p1;Tb927.7.5000:mRNA-p1;Tb927.7.5020:mRNA-p1,5.708111,7.339904741420752,0.5001892435261787,"Tb11.v5.0181.1-p1;Tb11.v5.0182.1-p1;60S ribosomal protein L19, putative;60S ribosomal protein L19, putative",37292080.0,36903860.0,31544874.0,23063876.0,23687312.0,22490528.0
88,Tb11.v5.0183.1-p1;Tb927.7.5030:mRNA-p1,0.495396,5.812057323565038,0.06833876031551878,"Tb11.v5.0183.1-p1;hypothetical protein, conserved",920198.0,877800.5,936484.25,802353.875,790894.8125,862017.1875
89,Tb11.v5.0184.1-p1;Tb927.7.5040:mRNA-p1,-3.298518,4.972077915472059,0.3445926165027702,"Tb11.v5.0184.1-p1;kinesin, putative",95161.609375,106042.625,124344.0078125,145464.34375,136578.609375,142582.859375
90,Tb11.v5.0185.1-p1;Tb927.7.5050:mRNA-p1,-0.737953,5.829092920228922,0.10138998751971183,"Tb11.v5.0185.1-p1;hypothetical protein, conserved",838158.0,907302.375,935756.25,916491.3125,884769.375,914889.75
91,Tb11.v5.0188.1-p1;Tb927.7.5080:mRNA-p1,0.147693,3.9834569236550212,0.0005301627329870832,Tb11.v5.0188.1-p1;ATP-NAD kinase-like protein,3908.3017578125,46838.5,5175.35791015625,5979.0,7717.5546875,7383.09814453125
92,Tb11.v5.0191.1-p1,-2.60203,4.917819054139652,0.29520624263495365,Tb11.v5.0191.1-p1,48043.09375,70940.890625,153807.359375,138813.234375,123737.7734375,126725.453125
93,Tb11.v5.0193.1-p1;Tb927.10.5990:mRNA-p1,0.530336,5.242827033986338,0.07327179955306608,"Tb11.v5.0193.1-p1;Centrosomal protein of 57 kDa, putative",242332.828125,258627.703125,239928.453125,226529.015625,212246.96875,219644.296875
94,Tb11.v5.0196.1-p1,0.325078,4.938400989015564,0.04095383523829446,Tb11.v5.0196.1-p1,101621.4921875,113007.78125,116902.96875,76332.03125,65502.46875,220833.375
95,Tb11.v5.0199.1-p1;Tb927.10.6060:mRNA-p1,17.316669,6.610498675100579,0.9065082729890681,Tb11.v5.0199.1-p1;universal minicircle sequence binding protein 2,7873184.0,6997272.5,6919379.0,3981254.0,3243063.5,3613699.0
96,Tb11.v5.0200.1-p1;Tb927.10.6080:mRNA-p1,0.79821,5.5346776791707075,0.11083841508867935,"Tb11.v5.0200.1-p1;proteasome subunit beta type-5, putative",469017.5,522286.1875,508835.71875,212111.0625,493468.4375,534377.75
97,Tb11.v5.0201.1-p1;Tb927.10.6090:mRNA-p1,20.428669,4.5983566167418735,0.9950341128931764,"Tb11.v5.0201.1-p1;tRNA pseudouridine synthase A, putative",102415.1640625,54923.78125,67455.828125,27589.8828125,31730.216796875,33158.6015625
98,Tb11.v5.0203.1-p1;Tb927.10.6110:mRNA-p1,-1.126441,5.397557153902401,0.15274207161329525,"Tb11.v5.0203.1-p1;hypothetical protein, conserved",344586.28125,316656.71875,298078.09375,339693.875,382897.25,316314.46875
99,Tb11.v5.0204.1-p1;Tb927.10.6120:mRNA-p1,0.416975,4.20768074506622,0.05542356984429548,"Tb11.v5.0204.1-p1;Peptidase M76 family, putative",0.0,0.0,53131.46484375,0.0,15509.51953125,12008.89453125
100,Tb11.v5.0205.1-p1;Tb927.10.6130:mRNA-p1,-0.278227,4.524402885199231,0.025603458922342216,"Tb11.v5.0205.1-p1;hypothetical protein, conserved",50354.9140625,47239.0390625,38247.21484375,54088.2578125,30245.736328125,47419.7734375
101,Tb11.v5.0210.1-p1;Tb927.5.286b:mRNA-p1,-2.302585,4.433083311212798,0.2662571992106319,Tb11.v5.0210.1-p1;adenosine transporter 1,0.0,0.0,0.0,0.0,81311.828125,0.0
102,Tb11.v5.0213.1-p1;Tb927.5.291b:mRNA-p1,-5.311877,5.010469572973737,0.47320856798117905,"Tb11.v5.0213.1-p1;variant surface glycoprotein (VSG)-related, putative",157396.953125,0.0,0.0,319369.5625,0.0,35423.1484375
103,Tb11.v5.0214.1-p1;Tb927.5.295b:mRNA-p1,-5.847457,6.030807750217594,0.5077985486074603,Tb11.v5.0214.1-p1;retrotransposon hotspot (RHS) protein 1,1122757.375,1206424.625,1082346.5,1646684.0,1749554.25,1780333.75
104,Tb11.v5.0216.1-p1;Tb927.5.309b:mRNA-p1,-0.087901,5.2657092675225385,-0.0,"Tb11.v5.0216.1-p1;invariant surface glycoprotein, putative",433348.71875,318147.21875,44543.21484375,256018.0,201718.96875,221237.734375
105,Tb11.v5.0218.1-p1;Tb927.5.500:mRNA-p1,0.451143,6.295033745464828,0.06131519424463923,"Tb11.v5.0218.1-p1;hypothetical protein, conserved",2504704.75,2793168.5,3010828.0,2555737.25,2394783.75,2521373.0
106,Tb11.v5.0222.1-p1;Tb927.5.450:mRNA-p1,-0.33114,4.3419526288039325,0.04230653295004806,"Tb11.v5.0222.1-p1;NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",23630.44921875,36383.67578125,23114.4921875,31506.818359375,0.0,39189.078125
107,Tb11.v5.0226.1-p1;Tb927.5.410:mRNA-p1,-12.208072,3.507449106096749,0.7744581228127693,"Tb11.v5.0226.1-p1;invariant surface glycoprotein, putative",0.0,0.0,0.0,5104.681640625,4051.62841796875,6921.2841796875
108,Tb11.v5.0228.1-p1;Tb927.5.390:mRNA-p1,-0.320985,4.907878098177456,0.03942934146450003,"Tb11.v5.0228.1-p1;75 kDa invariant surface glycoprotein, putative",85304.8359375,147436.53125,103679.6953125,90231.3203125,105020.3046875,115412.375
109,Tb11.v5.0230.1-p1;Tb927.5.370:mRNA-p1,-0.400945,5.411933434738794,0.052257578006193794,"Tb11.v5.0230.1-p1;75 kDa invariant surface glycoprotein, putative",95994.1953125,850158.375,146420.84375,362023.28125,315752.375,295131.46875
110,Tb11.v5.0231.1-p1;Tb927.5.360:mRNA-p1,-2.340064,5.194922356281107,0.27004997723974533,Tb11.v5.0231.1-p1;75 kDa invariant surface glycoprotein,186630.3125,153073.140625,229140.90625,238087.96875,200702.78125,245531.109375
