Gene_acc,Gene_id,logFC,log_AveExpr,FDR,Desc,A_1,A_2,A_3,A_4,B_1,B_2,B_3,B_4
14,Tb927.5.4410,-0.143528032,17.0670094,1.399794216,"hypothetical protein, conserved",121290,120320,118720,126520,173580,185820,205440,165840
15,Tb927.5.4420,-0.027834914,21.15591679,0.274586443,"nucleolar RNA helicase II, putative",2118600,2191800,2278800,2396400,3029600,3170100,3241000,2963400
16,Tb927.5.4430,-0.095214656,15.49908136,0.447750833,"calcium/calmodulin-dependent protein kinase, putative",44676,43906,45458,38542,57797,56895,68859,66550
17,Tb927.5.4440,-0.302457717,19.47169782,4.495677876,"dynein light chain, putative",604360,540930,659920,602050,947000,1066100,993440,1008700
18,Tb06.3A7.960,0.078932342,19.81944715,0.766924538,hypothetical protein,912300,930480,926530,904430,1116500,1198500,1213200,1185500
19,Tb927.7.2140,-0.025664429,12.1975846,0.033971005,"zinc finger protein family member, putative",3499.1,4127.1,7307.6,4153.8,4864.7,7509.5,5693.3,7620.6
20,Tb09.v4.0013,0.033951862,14.58670362,0.198941547,"retrotransposon hot spot (RHS) protein, putative",22714,27329,27114,22329,32526,31573,35900,31243
21,Tb09.v4.0015,-0.052731897,12.57254724,0.120922807,hypothetical protein,6501.4,6287.9,6233.4,5853.6,8750,9347.2,8364.8,8497.8
22,Tb09.v4.0016,0.267489311,18.20900854,4.35196188,"expression site- associated gene (ESAG) protein, putative",331250,344120,331750,331180,350920,395520,397610,364010
23,Tb09.v4.0030,0.569306246,12.97401995,3.856767939,"variant surface glycoprotein (VSG), putative",8744.5,7522.2,10152,9114.4,6450.4,9256.6,9400.8,7532.5
24,Tb09.v4.0067,0.028307452,17.81455713,0.081283347,"retrotransposon hot spot protein, pseudogene",205500,221900,236060,227580,320020,315570,321130,235170
26,Tb927.9.1130,-0.334137047,16.86676243,1.597090696,"variant surface glycoprotein (VSG, pseudogene), putative",95787,81445,128000,97730,170960,159220,193340,157700
28,Tb09.v4.0107,-0.053304273,18.26959727,0.200590417,"expression site-associated gene 5 (ESAG5) protein, putative",321660,307610,303530,299220,443920,405620,458370,425040
29,Tb09.v4.0109,-0.116580964,17.96415999,1.736457499,hypothetical protein,221630,237140,235460,232400,340360,339950,337890,342240
30,Tb09.v4.0137,-0.305787238,15.54145398,0.995994492,"variant surface glycoprotein, fragment",37540,48241,46837,39074,54126,77667,73212,84657
31,Tb09.v4.0150,0.25125043,15.30129528,0.939020928,"variant surface glycoprotein (VSG, pseudogene), putative",40246,41655,45352,42952,54303,53096,56268,33774
33,Tb927.10.4430,-0.004863405,19.63173023,0.046136606,pumillo RNA binding protein PUF1,746970,814990,822970,831380,1030400,1135500,1157200,1050000
34,Tb927.10.4440,-0.121123868,15.6700938,0.992422058,predicted SAP domain protein,48301,52579,47762,46897,73300,70717,69501,74391
35,Tb10.v4.0035,-0.10128646,20.80562689,1.415528107,"stress-inducible protein STI1-like, putative",1639600,1771900,1661900,1781100,2407400,2506900,2523800,2517600
36,Tb927.10.4460,0.219824326,16.58360135,1.856379097,"leucine carboxyl methyltransferase, putative",107930,102160,111210,97155,119590,126980,127060,113030
37,Tb927.10.4470,-0.087002985,15.02614386,0.287184907,"hypothetical protein, conserved",27299,30815,38649,34588,37614,41460,59165,52238
38,Tb927.10.4490,0.119812279,18.58508226,1.702993114,"hypothetical protein, conserved",387130,408160,420460,372500,494020,530220,477390,478070
39,Tb927.10.4500,-0.047480965,19.17545692,0.434904821,cap guanine-N7 methyltransferase,538380,578020,552770,554770,700930,793690,810050,813430
40,Tb10.v4.0041,0.117869302,17.83417629,1.475054368,"PUB domain containing protein, putative",223890,246630,250890,216020,288490,290730,289920,298900
41,Tb927.10.4330,0.411973855,13.66009756,1.117717748,"2-oxoisovalerate dehydrogenase beta subunit, mitochondrial precursor, putative",12588,12764,13502,17835,12278,12089,17109,16372
42,Tb927.10.4320,0.135943523,17.79496844,1.293116024,"hypothetical protein, conserved",227260,246520,204530,229420,263630,280740,269930,303960
43,Tb927.10.4310,0.039578717,20.01587309,0.603941646,"prohibitin 2, putative",1000900,1074200,1114900,995850,1314800,1363400,1469700,1367200
44,Tb10.v4.0052,0.368441064,17.00989818,5.432530728,microtubule-associated protein 2,140720,154900,157140,142860,156130,149800,167910,151070
51,Tb10.v4.0213,0.152967797,16.3184111,1.684738191,"expression site-associated protein 1 (ESAG1), putative",67261,80418,87205,74803,83271,98860,102070,92527
52,Tb10.v4.0216,-0.349517452,16.13258909,2.915714947,"variant surface glycoprotein (VSG, pseudogene), putative",62150,64082,61627,50070,106700,88084,98601,117690
53,Tb10.v4.0240,0.083894928,19.91109275,1.352942151,"variant surface glycoprotein (VSG, pseudogene), putative /product",923910,1091900,1007600,1003700,1276300,1252400,1308400,1301800
54,Tb927.10.6900,-0.023285741,15.25018274,0.096152694,base J-associated glucosyltransferase,30306,41632,38536,34800,52854,47814,54114,44442
55,Tb927.10.6950,-0.038714674,16.87266936,0.191180974,"sterol 24-c-methyltransferase, putative",135020,123760,108030,114100,164460,162050,181520,159620
56,Tb11.01.2730,-0.217835745,16.79782221,2.430804092,"hypothetical protein, conserved",93962,93386,102500,97585,141880,162360,152500,153910
58,Tb11.02.5070b,0.364611658,15.06143665,3.766041315,"hypothetical protein, conserved",39879,40440,37929,34537,37629,42924,42187,37990
59,Tb927.11.7213,0.234452102,19.81664483,3.41612045,"Endoplasmic Reticulum-Golgi Intermediate Compartment (ERGIC)/Endoplasmic reticulum vesicle transporter, putative",900810,1010800,984810,924350,1008400,1209600,1054500,1132800
60,Tb11.02.5090b,-0.097877452,17.01327113,0.690630033,"proliferator-activated receptor-interacting protein (PRIP) interacting protein (PIMT), putative, pseudogene",124520,139030,126580,127530,173100,178600,196670,203030
61,Tb11.02.5360b,0.114492925,14.66905527,0.280841178,"hypothetical protein, conserved",25576,22138,26877,26824,30662,28572,31463,36305
62,Tb11.02.5380b,-0.079952198,19.02753753,1.116082318,"exosome complex exonuclease RRP44p homologue, putative",451350,492250,553610,488070,682800,676520,735520,742650
63,Tb11.02.5390b,0.050562515,16.96377043,0.575829405,"mRNA processing protein, putative",118940,126920,132760,124320,167760,154140,179720,156920
64,Tb11.02.5410b,0.298741042,14.42845197,1.630103109,"ubiquitin activating enzyme, putative",21078,19629,25509,23727,23784,25070,22255,27757
65,Tb11.02.5420b,-0.100242707,19.4437961,1.190433617,"NADPH-cytochrome p450 reductase, putative",624470,702630,710580,643240,973940,896530,1047800,974650
66,Tb11.02.5430b,-0.241445255,14.16131555,0.796865039,"hypothetical protein, conserved",20164,13409,16910,13244,23882,25191,27205,24333
67,Tb927.6.4980,-0.15358725,21.12304241,1.35630886,40S ribosomal protein S14,2115600,1870200,2153000,1861000,2996900,2974700,3132000,2926900
68,Tb927.11.7670,-0.188263765,16.16733303,0.935202323,"Cornifin (SPRR) family, putative",70836,52742,78004,62750,95674,92031,117050,100700
69,Tb927.10.1130,-0.110932695,18.54369625,1.249377192,"dynein arm light chain, axonemal, putative",344100,353870,369890,353650,485070,515110,550020,530840
70,Tb927.10.1140,-0.201134189,16.74754878,2.271577822,epsilon tubulin,84076,106580,93810,93217,141640,143590,155070,146130
71,Tb927.10.1150,-0.134027491,12.81823771,0.346784281,"hypothetical protein, conserved",7010.9,6667.6,6822.9,7121.9,7926.7,12592,10363,10723
72,Tb927.10.1160,0.262712537,11.9102811,0.522592496,"NADH dehydrogenase (ubiquinone) 1 beta subcomplex subunit, putative",0,5482.2,3458.3,3339.6,3678.7,0,5802.5,3357.5
74,Tb927.11.715,0.024817146,17.93697926,0.128929541,"dynein light chain LC8, putative",233050,304170,248020,231800,337670,324530,331390,352770
75,Tb11.0850,0.141417827,19.04026355,1.079470647,"SCAMP family, putative",514560,605300,553020,515030,633320,661920,683120,704800
76,Tb927.4.1100,0.010721203,21.616213,0.151145287,"ribosomal protein L21E (60S), putative",3032900,3119400,3351600,3026800,4011600,4207200,4466200,4162000
78,Tb11.1220,0.030856959,22.37012841,0.236006889,hypothetical protein,5088300,5346400,5551700,5854200,6845400,6726400,7887500,7525700
79,Tb927.10.15270,0.042104771,20.38392327,0.434400176,"metallo- peptidase, Clan MG, Family M24",1294400,1306400,1490900,1313600,1667100,1786500,1880500,1771800
80,Tb927.11.1840,0.055510627,24.28979797,0.980291653,"hypothetical protein, conserved",20079000,20153000,20058000,19940000,25274000,25422000,27436000,26506000
81,Tb11.1780.1-p1,-0.210687069,16.97191108,1.674684529,"retrotransposon hot spot protein 1 (RHS1, pseudogene), putative",117330,118400,118410,137250,191670,188350,210750,179210
82,Tb11.1790.1-p1,-0.180068979,20.99968285,1.999223105,"retrotransposon hot spot protein (RHS, pseudogene), putative",1841700,2128500,2119300,1917000,3039500,3124200,3118500,2983600
83,Tb11.v5.0111,0.270752783,13.12800218,1.819561934,"variant surface protein (VSG), putative",9947.8,8765.7,9188.3,9303.6,8696,10973,11201,11086
85,Tb927.7.4600,-0.584826232,16.60777336,1.427956811,"Calponin homology (CH) domain containing protein, putative",80484,80757,82490,82738,133780,134920,354810,118040
86,Tb927.7.4640,-0.922559807,14.29917806,5.365209454,"hypothetical protein, conserved",14489,11868,15962,16342,32398,41897,42861,33513
87,Tb927.7.4650,-0.026807322,17.28604278,0.149077593,J Biosynthesis Protein 2,152820,152560,161270,143340,183040,211540,246590,204740
88,Tb927.7.4670,-0.009584758,15.78402686,0.025293723,ribosomal RNA processing protein 4,59158,52245,60917,48161,77456,74007,71788,76199
89,Tb927.7.4690,0.157232833,17.27727042,2.65309377,hypothetical protein,154340,168320,161500,166400,192380,183890,203690,210970
90,Tb11.v5.0154,-0.010888975,22.41329486,0.130910735,"WD domain, G-beta repeat, putative",5316800,5512200,5791200,5221900,7332000,7300700,7632400,7528900
91,Tb927.7.4730,0.141029153,11.08186602,0.17184462,pumilio/PUF RNA binding protein 5,2873.4,2512.6,2162.6,1670.4,2854.1,2735.3,3265.9,2329.8
92,Tb927.7.4740,-0.074341774,14.9742644,0.416145677,"hypothetical protein, conserved",24243,32842,31898,24355,37129,42249,41140,39663
93,Tb927.7.4750,0.257519373,17.2258694,2.911649524,"hypothetical protein, conserved",156020,144850,156670,160480,164050,169040,178730,189040
94,Tb927.7.4770,0.08778288,23.06527201,1.238224543,"cyclophilin-type peptidyl-prolyl cis-trans isomerase, putative",8109500,9661800,9362600,9069900,10979000,11762000,11919000,11412000
95,Tb927.7.4780,-0.17599644,13.24346557,0.396048783,"conserved hypothetical protein, putative",12943,7740,11239,8835.5,16264,16227,16101,12842
96,Tb927.7.4790,-0.077545717,17.93566695,0.653967221,proteasome beta 6 subunit,219010,279010,250570,216380,328510,334670,354930,354480
97,Tb927.7.4810,-0.154585767,18.51176761,1.600776197,"HD domain containing protein, putative",345090,347440,345640,318960,522310,498330,508740,516020
98,Tb927.7.4820,0.2190134,16.64239851,1.456020915,"Trm112p-like protein, putative",109740,101320,101540,114320,134360,112450,122440,128010
99,Tb927.7.4840,-0.036130489,17.71142942,0.178690108,"hypothetical protein, conserved",185410,216570,217600,221300,268440,309820,290900,297490
100,Tb927.7.4860,-0.029977184,15.1730411,0.192360661,kinetoplastid kinetochore protein 13,31923,34007,36217,31663,40799,44237,52540,48040
101,Tb927.7.4870,0.085614726,17.08703434,0.439091094,"hypothetical protein, conserved",126530,138530,148170,121200,162670,165630,188760,164380
102,Tb927.7.4900,0.001493729,19.94323638,0.016193336,5-3 exoribonuclease A,953580,1005400,1099500,945520,1293100,1333600,1440300,1345700
103,Tb927.7.4910,-0.051756338,21.27167814,0.597745845,"hypothetical protein, conserved",2380900,2653000,2416800,2391500,3363500,3494100,3452600,3497300
104,Tb927.7.4930,-0.137641424,14.05885853,0.401313288,ribonuclease H1,17137,13672,13717,14844,22248,23247,26802,16974
105,Tb927.7.4940,-0.012916186,15.87965063,0.064136737,"serine peptidase, clan SC, family S9A-like protein",51012,56910,59629,56485,77766,75449,83537,69627
106,Tb927.7.4960,0.047445213,16.97889779,0.160115204,"hypothetical protein, conserved",125440,116030,133850,120850,138650,164070,193010,158310
107,Tb927.7.4970,0.764108942,12.28078695,2.715733199,"glutamine synthetase, putative",7231.1,8897,7716,5202.1,4090.5,5482.5,6169.2,7555.3
108,Tb927.7.4980,-0.207989529,13.62099636,0.785288871,Present in the outer mitochondrial membrane proteome 35,9985,13465,11168,10885,16257,17313,20173,17255
109,Tb927.7.4990,-0.132887505,18.75972276,2.607551683,"hypothetical protein, conserved",400990,417990,418300,394290,574450,579220,653730,618610
110,Tb927.7.5020,-0.099866019,23.89708411,1.447271243,"60S ribosomal protein L19, putative",14173000,13865000,15018000,14027000,21573000,21477000,20170000,19675000
111,Tb927.7.5030,-0.109959707,18.99063504,0.964183879,"hypothetical protein, conserved",482030,496990,506530,449290,663490,723770,753230,688480
112,Tb927.7.5050,0.001555369,19.10655312,0.009461199,"hypothetical protein, conserved",495240,543150,613010,558000,726690,756230,771370,727770
113,Tb927.10.5950,-0.126840296,15.22823918,0.313950146,"Serine/threonine-protein kinase NEK17, putative",33873,38991,40134,35907,47494,50491,61292,61984
114,Tb11.v5.0191,-0.195453877,15.5647057,1.223835058,"ELMO/CED-12 family, putative",42472,40194,47675,52991,70225,66975,70805,74978
115,Tb927.10.5970,0.172868732,12.16995632,0.39987951,predicted zinc finger protein,4350.2,5478,3965,5236,6247.5,4086.3,6470,6245.6
116,Tb927.10.5990,-0.045697998,19.89859974,0.547976909,"Centrosomal protein of 57 kDa, putative",986000,905150,938610,960900,1295600,1336400,1377800,1289700
117,Tb11.v5.0196,-0.068798701,21.87317892,0.998012874,"Proteasome subunit A N-terminal signature/Proteasome subunit, putative",3732200,3537000,3907400,3685600,5065300,5316500,5547900,5185300
118,Tb927.10.6060,-0.237928256,18.56449706,1.659035743,universal minicircle sequence binding protein 2,401480,358250,322030,341290,539890,644240,589040,502530
119,Tb927.10.6080,-0.031068605,19.5549431,0.218543276,"proteasome subunit beta type-5, putative",691930,789450,778210,679450,981410,1060200,1033900,985440
120,Tb11.v5.0201,0.122729952,15.08075996,0.772917785,"tRNA pseudouridine synthase A, putative",33551,36868,40580,31008,43910,48295,45968,38259
121,Tb927.10.6110,0.031647405,13.2842984,0.06298363,"hypothetical protein, conserved",9005.5,9217.7,8998.6,13621,11479,13412,16434,12404
122,Tb927.10.6120,-0.052433418,15.04972871,0.421329337,"Peptidase M76 family, putative",28165,31467,31800,30060,40736,44547,46734,38903
123,Tb927.5.310,0.142292983,21.94641704,2.005597955,"invariant surface glycoprotein, putative",4108900,4155700,4344100,3995400,4856900,4868800,5158600,5514100
124,Tb927.5.291b,-0.129745874,14.49436544,0.638293868,"variant surface glycoprotein (VSG)-related, putative",20881,19350,23470,17671,33543,28574,27013,31231
125,Tb927.5.295b,0.073565206,21.58681234,1.595554952,retrotransposon hotspot (RHS) protein 1,3161100,3274400,3354900,3194800,3870200,4124300,4364000,4373600
126,Tb927.5.300b,0.213132864,17.70635075,5.028116214,"2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein, putative",212940,232420,234350,220590,263350,261310,273920,253120
127,Tb927.5.309b,0.176180214,21.11519371,2.93209191,"invariant surface glycoprotein, putative",2306600,2396800,2474400,2243200,2571300,3035500,3032300,2678800
128,Tb927.5.500,-0.107870002,18.69525862,0.859325873,"hypothetical protein, conserved",368970,381540,435160,398990,539560,566700,624780,581040
129,Tb927.5.450,0.297911826,15.4875625,2.040464798,"NADH dehydrogenase [ubiquinone] flavoprotein 1, mitochondrial",42302,52140,54681,55296,49215,59629,61464,54508
130,Tb927.5.420,0.051146772,17.16581593,0.320460958,"invariant surface glycoprotein, putative",135920,142220,143510,152180,190210,201710,199750,160970
131,Tb927.5.410,0.582127443,15.92619001,7.266747464,"invariant surface glycoprotein, putative",82542,77345,85904,82844,72896,73657,80441,70523
132,Tb927.5.390,0.033965389,20.18709287,0.437071093,"75 kDa invariant surface glycoprotein, putative",1225800,1297800,1257900,1204400,1612300,1643800,1670700,1668200
133,Tb927.5.370,-0.157936015,18.67591618,1.729239521,"75 kDa invariant surface glycoprotein, putative",448280,417240,414670,409170,625980,623260,689340,615670
134,Tb927.5.360,0.223172798,22.08844524,4.353237327,75 kDa invariant surface glycoprotein,4495600,4758200,4881400,4679200,5176400,5545200,5920600,5214400
135,Tb11.v5.0232,-0.023693343,19.12851057,0.189373858,"hypothetical protein, conserved",576780,576350,592640,546960,786990,774410,809610,785330
136,Tb927.10.5240,-0.133737337,17.89056873,1.244188904,"cAMP binding protein, putative",219170,211550,221790,236210,303440,355190,347390,316530
137,Tb927.10.5210,-0.17841117,14.21328334,0.684194574,TFIIH basal transcription factor subunit,14124,18231,23275,18319,24245,27787,33254,27063
138,Tb927.10.5200,-0.091495814,15.07637462,0.839434292,"hypothetical protein, conserved",29558,30336,34788,32235,42055,47178,47324,46475
139,Tb927.10.5340,-0.000938385,23.05794972,0.005615887,"40S ribosomal protein S18, putative",8471400,9029900,8816200,7511500,10811000,10966000,12413000,11622000
140,Tb927.10.5310,0.276208185,16.02445252,2.662864121,"AMP-activated kinase, alpha 1",70021,78800,91081,71055,83065,85405,93291,84478
141,Tb927.10.5300,-0.044534869,18.67251594,0.26619219,"eukaryotic translation initiation factor 6 (eIF-6), putative",391740,392610,390750,404710,505440,579170,555260,570100
142,Tb927.10.5280,-0.027738171,17.9704872,0.233130623,"pre-mRNA splicing factor ATP-dependent RNA helicase, putative",238290,238950,256930,228820,327900,326040,348660,326590
143,Tb927.10.5270,-0.167893129,16.22141298,2.207638531,mitogen-activated protein kinase kinase 5,71277,74533,70980,67175,108220,108140,116070,100020
144,Tb927.11.7310,-0.08786103,16.54791572,0.493316064,"RNA binding protein, putative",96304,82036,90444,100490,120580,130920,136760,142890
145,Tb927.11.7300,-0.148616336,14.86017274,0.972284121,"major facilitator superfamily, putative",23684,25723,29914,27160,38397,40874,40402,39690
146,Tb927.11.7290,-0.491241662,19.88991143,9.017575877,"pantothenate kinase subunit, putative",727600,752230,843530,770940,1411900,1455900,1533100,1484800
147,Tb927.11.7280,-0.097017972,16.18972388,0.692417675,"DNA-direcetd RNA polymerase II, subunit 9, putative",62896,76713,74892,62117,94613,90638,108030,106770
148,Tb927.11.7270,0.151051021,20.54329663,2.790759651,"proteasome beta 3 subunit, putative",1595600,1563700,1601500,1508200,1758300,1911500,2050800,1936800
149,Tb927.11.7240,0.09922196,19.60464087,1.462982683,nexin-dynein regulatory complex 2,734730,812750,879410,799920,985020,999420,1098300,993640
150,Tb927.7.4480,0.240169366,23.4224151,4.387117918,"adenosine 5-monophosphoramidase, putative",12188000,12357000,13009000,12756000,13591000,15073000,14840000,14224000
151,Tb927.7.4490,-0.202464202,18.63481106,4.262704894,"hypothetical protein, conserved",351660,375620,392820,352860,575920,571380,564170,582180
152,Tb927.7.4500,0.078698565,21.90744128,1.509162601,"PX domain containing protein, putative",4018900,4068200,4266100,4104900,5047200,5356000,5364500,5345100
153,Tb927.7.4510,-0.023338748,17.19630912,0.095107233,"Domain of unknown function (DUF4201), putative",152080,136610,163620,137370,188220,184480,190030,254240
154,Tb927.7.4520,0.278996839,23.37928655,7.06039794,"Thioredoxin-like, putative",10988000,11368000,11881000,10955000,12495000,12601000,13167000,12184000
155,Tb927.7.4550,0.077235203,19.11028481,1.13947807,Mitochondrial ribosomal protein L7/L12,537120,585080,625750,520500,698790,729140,746860,731150
156,Tb927.7.4560,-0.140259892,14.48600139,1.603958133,Histone acetyltransferase 1,22115,21986,23285,19912,29890,34046,33071,33279
157,Tb927.7.4570,0.069092085,22.29442358,0.995473989,inosine-guanine nucleoside hydrolase,4994700,5746800,5532800,5162400,6619800,6766500,7045600,7222800
158,Tb927.10.6350,0.032956611,19.29297835,0.217245029,trypanin,556260,690240,635330,642870,740530,854870,844630,901370
159,Tb927.10.6340,-0.185096396,16.63454013,2.077046756,"hypothetical protein, conserved",96862,90368,86152,96135,134930,143290,159190,132510
160,Tb927.10.6330,-0.005964774,17.71159388,0.041947293,kinetoplastid kinetochore protein 1,192690,201030,231230,202260,266060,280870,295840,280550
161,Tb927.10.6320,-0.030040543,19.80626407,0.210498632,"CBF/Mak21 family, putative",781070,814130,893080,867340,1031300,1192100,1302600,1125700
162,Tb927.10.6310,-0.068188526,20.76829576,0.959706706,"major vault protein, putative",1703600,1659000,1775300,1723500,2363900,2436100,2586400,2362000
163,Tb927.10.6290,-0.154099849,19.78902642,2.61715963,"ATP-dependent DEAD/H RNA helicase, putative",846430,811240,887170,789270,1161800,1244600,1272100,1349400
164,Tb927.5.340,-0.265840963,11.68098764,0.429533788,"expression site-associated gene 5 (ESAG5) protein, putative",5173.4,4308.9,3414.4,2399.1,4281,6928.4,7475.3,5795.6
165,Tb927.11.12770,0.329850238,13.62735135,3.015648928,"ubiquitin ligase, putative",14694,14979,14187,12223,14635,14587,16468,14649
166,Tb927.11.12750,-0.185073456,16.90208581,1.668718858,cleavage and polyadenylation specificity factor 30 kDa subunit,99761,113470,118070,103740,167720,174200,179310,148880
167,Tb927.10.15930,0.23576598,14.0894488,1.167312779,"pdz domain containing protein, putative",17643,20984,19396,13282,17862,21585,21130,20505
168,Tb11.v5.0304,0.158179128,17.05973217,1.317557337,"cation transporter, putative",153700,127670,145450,141380,164880,164280,196950,164280
169,Tb11.v5.0325,-0.091925989,18.25215196,1.767546981,"retrotransposon hot spot (RHS) protein, putative",295560,319870,323030,296850,448570,445360,444730,443350
170,Tb11.v5.0326,-0.228662051,16.63260039,1.225855069,"retrotransposon hot spot (RHS) protein, putative",83406,77251,105900,102750,130710,133610,164560,154860
171,Tb927.10.8440,0.805423909,22.09715581,11.371295,glucose transporter 1B,6162100,6660200,6959700,6300000,4699000,4949400,5262600,5307100
172,Tb11.v5.0333,0.518387935,12.81643206,2.143168965,"THT1 - hexose transporter, putative, fragment",12495,9444.3,7579.3,7698.5,10253,8079.1,9206.7,7223
173,Tb927.10.5080,0.043363086,19.13299456,0.554102124,GPI transamidase component Tta2,536640,561600,578400,530970,680390,730280,774370,718280
174,Tb927.10.5070,-0.133798504,14.28697063,0.438742017,"ribonuclease H, putative",13710,21301,20326,19119,25647,31858,29346,23097
175,Tb927.10.5040,0.073373592,18.8542638,0.824475208,"chaperone protein DnaJ, putative",467290,445930,511830,473490,563170,623160,627490,630070
177,Tb927.1.1240,-0.202102784,19.29271932,2.731387742,"cytidine triphosphate synthase, putative",567530,553370,586980,567490,848560,830770,949570,921610
178,Tb927.1.1270,-0.070516209,10.39615762,0.113416783,"homocysteine S-methyltransferase, putative",1101.4,0,987.75,1685.7,971.61,2025.7,2102.6,2249.4
179,Tb11.v5.0364,-0.007891481,19.65693728,0.05856789,"hypothetical protein, conserved",769130,792920,778620,770630,1027900,1050900,1080900,1078700
180,Tb11.v5.0365,-0.086647295,16.90086032,0.267573873,"hypothetical protein, conserved",91179,125950,136500,134300,158620,161330,206650,170460
181,Tb11.v5.0366,0.007097962,21.64785194,0.084807812,"hypothetical protein, conserved",3065500,3274400,3415000,3158200,4001100,4382500,4577300,4453500
182,Tb927.1.1310,0.088312003,16.20792563,0.591898729,"transmembrane protein, conserved",70121,73792,80448,76832,93257,99150,93165,97869
183,Tb11.v5.0383,-0.010121632,15.03145985,0.028114709,"zeta tubulin, putative",31298,29644,32536,27652,35414,44234,39827,46336
184,Tb927.11.1180,-0.036752048,19.94556918,0.502488642,"cdc2-related kinase 6, putative",934610,1012000,1010700,956760,1270900,1402300,1466300,1305000
185,Tb927.1.1370,-0.257407574,18.10917151,2.5853355,"rRNA biogenesis protein, putative",245820,226850,271370,240820,408520,382440,381640,420170
186,Tb11.v5.0394,-0.041267281,20.17477077,0.412199622,"hypothetical protein, conserved",1199900,1119600,1199000,1058800,1491400,1660300,1618900,1606300
187,Tb927.10.16170,0.03964387,15.13550274,0.193211387,"potassium voltage-gated channel, putative",33871,34053,35310,35147,46452,51046,47549,38302
188,Tb927.10.16150,0.091309161,17.86802419,0.901259398,"ATP-dependent zinc metallopeptidase, putative",237200,257730,238620,238100,288580,311830,318190,317120
189,Tb11.v5.0406,-0.085220583,16.29893499,0.446857337,"glycerol uptake protein, putative",76898,68006,87479,75662,111270,118530,117730,95074
190,Tb927.10.540,0.018445821,22.97124272,0.229150872,"ATP-dependent RNA helicase SUB2, putative",7745600,8470200,8479900,8175100,10845000,10916000,10903000,11274000
191,Tb927.10.14490,0.024226553,20.85701529,0.272544628,"hypothetical protein, conserved",1786500,1984700,2119200,1964200,2462000,2602600,2804500,2586000
192,Tb927.5.350,0.252662214,18.4540739,3.707522962,"75 kDa invariant surface glycoprotein, putative",374500,395980,387980,380070,410740,420310,476770,444030
193,Tb11.v5.0422,-0.078219815,17.77429478,1.023757833,"SET domain containing protein, putative",208240,211280,217060,190630,280920,296890,304230,300120
194,Tb927.10.15850,-0.048528295,19.71876001,0.571380121,Peroxisome biogenesis factor 12,833540,785410,913780,794790,1137100,1150400,1222800,1145100
195,Tb11.v5.0429,-0.22548322,12.83262882,0.500872614,"receptor-type adenylate cyclase GRESAG 4, putative",9002.1,4201,6100.5,7215.8,8698.2,10950,12198,9016.1
196,Tb927.10.15390,0.004283451,19.34409798,0.025433459,Flagellum attachment zone protein 7,671270,673820,611880,630100,855770,823230,927470,888130
197,Tb927.11.3650,-0.16130033,23.02821602,2.789909924,"adenylosuccinate synthetase, putative",7576300,8595600,8485300,7648400,11489000,12177000,12893000,12340000
198,Tb927.1.1030,-0.133008611,17.77868736,0.734366192,Nucleolar protein 49,205870,221150,218080,197930,283230,336430,322920,310980
